step,env,surface_profile,profile_seed,observation_mode,observation_dim,feature_index,feature_name,value
0,1,factory_prepolish_deep_defect,1000,spatial120,120,13,local_thermal_damage_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,14,inspection_pass_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,15,gu_gap_norm,0.4448448717594147
0,1,factory_prepolish_deep_defect,1000,spatial120,120,16,ra_gap_norm,-0.4412309527397156
0,1,factory_prepolish_deep_defect,1000,spatial120,120,17,rz_gap_norm,-0.3684152364730835
0,1,factory_prepolish_deep_defect,1000,spatial120,120,18,clearcoat_margin_norm,0.6292973160743713
0,1,factory_prepolish_deep_defect,1000,spatial120,120,19,center_edge_removal_delta_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,20,tile_scratch_max_um_x0_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,21,tile_scratch_max_um_x0_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,22,tile_scratch_max_um_x0_y2_norm,0.3767649233341217
0,1,factory_prepolish_deep_defect,1000,spatial120,120,23,tile_scratch_max_um_x0_y3_norm,0.3817024827003479
0,1,factory_prepolish_deep_defect,1000,spatial120,120,24,tile_scratch_max_um_x0_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,25,tile_scratch_max_um_x1_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,26,tile_scratch_max_um_x1_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,27,tile_scratch_max_um_x1_y2_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,28,tile_scratch_max_um_x1_y3_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,29,tile_scratch_max_um_x1_y4_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,30,tile_scratch_max_um_x2_y0_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,31,tile_scratch_max_um_x2_y1_norm,0.0
0,1,factory_prepolish_deep_defect,1000,spatial120,120,32,tile_scratch_max_um_x2_y2_norm,0.18659506738185883
0,1,factory_prepolish_deep_defect,1000,spatial120,120,33,tile_scratch_max_um_x2_y3_norm,0.0
