policy_label,direction_mode,surface_profile,profile_seed,policy_outcome,champion_outcome,policy_safety_ok,champion_safety_ok,delta_gu,delta_ra_um,delta_rz_um,delta_scratch_um,delta_clearcoat_um
bc_base14,same_xx,factory_prepolish,10388,success,success,True,True,0.00473405251941017,2.1924060983988247e-05,-0.0001222639480201737,-0.00014697376132821738,-0.00028192096395684985
bc_global20,same_xx,factory_prepolish,10388,success,success,True,True,0.012543830848173343,4.326483181327223e-05,-4.510953756753366e-06,-0.00018994586733694918,0.00027474208219047114
bc_spatial120,same_xx,factory_prepolish,10388,success,success,True,True,1.3234536953242895,-0.006782769041248929,-0.01707153738302225,-0.04983797243128385,-0.15672641668857779
bc_base14,same_xx,factory_prepolish,10485,success,success,True,True,0.024949175042436877,-4.946077045160646e-05,4.627315494842854e-05,-0.0012461295795730687,-0.0031684607942779053
bc_global20,same_xx,factory_prepolish,10485,success,success,True,True,0.03138451782039908,-6.114259147946277e-05,0.00010269794329076376,-0.0015451725012812223,-0.0028227942735199463
bc_spatial120,same_xx,factory_prepolish,10485,success,success,True,True,0.4738612903291255,0.006576473388672163,0.01962908974394162,-0.04928243376156266,-0.13132144840915316
bc_base14,same_xx,factory_prepolish,10582,success,success,True,True,-0.40317458655059113,-0.0011491119094930863,-0.014389466210534385,0.026400069026258466,-6.711540037684927e-05
bc_global20,same_xx,factory_prepolish,10582,success,success,True,True,-0.550078241758726,-0.0008899980357355841,-0.01277893339003966,0.032137991370980945,-0.000439479402210452
bc_spatial120,same_xx,factory_prepolish,10582,success,success,True,True,0.2726478029804582,-0.003487405986485989,-0.010004011230466014,0.013653515639338254,-0.024868005515081393
bc_base14,same_xx,factory_prepolish,10679,success,success,True,True,-0.0015255714872068893,2.2102554604400138e-05,0.00023127288371138643,0.0,-8.071006615750775e-05
bc_global20,same_xx,factory_prepolish,10679,success,success,True,True,0.004128670827654446,-5.624864729830703e-05,-0.0004391973293629281,0.0,-0.00037343879866114094
bc_spatial120,same_xx,factory_prepolish,10679,success,success,True,True,-0.05760764704608334,0.0006166435421352673,0.0031321004233790806,0.0,0.0021925141857295216
bc_base14,same_xx,factory_prepolish_deep_defect,10000,fail_max_passes,fail_max_passes,True,True,0.020562218318389114,-0.002352575723658823,-0.0008861440644707397,0.0030807368872090013,-0.0020377269611913107
bc_global20,same_xx,factory_prepolish_deep_defect,10000,fail_max_passes,fail_max_passes,True,True,-0.027203880910604994,-0.00812377551940889,-0.014557201818101162,0.03468480126611051,-0.00021705712194375337
bc_spatial120,same_xx,factory_prepolish_deep_defect,10000,fail_max_passes,fail_max_passes,True,True,-0.05455903527071371,0.0006256432864891748,0.021898457998005938,0.01339008365070149,-0.018418384393932286
bc_base14,same_xx,factory_prepolish_deep_defect,10097,success,success,True,True,-9.98351837182554e-05,-0.00040216517971894405,-0.0008322619610354742,0.0012041478515096848,0.00020528406160735813
bc_global20,same_xx,factory_prepolish_deep_defect,10097,success,success,True,True,-0.09615511639546526,-0.008565101764888117,-0.03835022368715668,0.030748080953903467,0.00046896117243733215
bc_spatial120,same_xx,factory_prepolish_deep_defect,10097,success,success,True,True,-0.06985642825780758,-0.0010651035461075459,-0.007040527737119939,0.008122273121241808,0.009571576490380096
bc_base14,same_xx,factory_prepolish_deep_defect,10194,success,success,True,True,-0.050906512595062736,-0.004323843664424662,-0.01055093443779398,0.02860693868515435,0.0004312056526032393
bc_global20,same_xx,factory_prepolish_deep_defect,10194,success,success,True,True,-0.1223549932961987,-0.005755463544087444,-0.01378718936490353,0.0566583055074813,0.0017886666532902495
bc_spatial120,same_xx,factory_prepolish_deep_defect,10194,success,success,True,True,0.11291609961814686,-0.004704491438284122,-0.03855263519919472,-0.026029486826445403,-0.054575750044314475
bc_base14,same_xx,factory_prepolish_deep_defect,10291,success,success,True,True,-0.003971451943911575,-0.000606330357844076,0.0004943676812452225,0.00016536688931512167,-0.005487835535262775
bc_global20,same_xx,factory_prepolish_deep_defect,10291,success,success,True,True,-0.11044295797849202,-0.004704803882403491,-0.016644833057363195,0.0020700046293337104,-0.0036813266893389596
bc_spatial120,same_xx,factory_prepolish_deep_defect,10291,success,success,True,True,-0.7353058800530476,-0.012095372353265701,-0.04079681898733112,0.04504574763045055,0.018796244716519084
bc_base14,same_xx,factory_prepolish_deep_defect,10388,success,success,True,True,0.012277029632983272,-0.0007377766199705565,-0.00393402502249085,0.00047741517297250624,-3.943210256096563e-05
bc_global20,same_xx,factory_prepolish_deep_defect,10388,success,success,True,True,0.02630209940409145,-0.003485210762655358,-0.017743110450130217,0.0012456982667250482,-4.009412021588332e-05
bc_spatial120,same_xx,factory_prepolish_deep_defect,10388,success,success,True,True,-0.17123942273826742,0.0008043391659616345,-0.006264417040071191,0.012474721324789995,0.03120726568598542
bc_base14,same_xx,factory_prepolish_deep_defect,10485,success,success,True,True,0.020388242499024045,-0.00023172728301579237,-0.0006940032544244801,0.000736954913068022,-0.003118823363550405
bc_global20,same_xx,factory_prepolish_deep_defect,10485,success,success,True,True,-0.07319700232652337,-0.0067057735086220455,-0.0326572237193925,0.01513866373911188,-0.001840494357281841
bc_spatial120,same_xx,factory_prepolish_deep_defect,10485,success,success,True,True,0.45330789931870186,0.004151633581136904,0.014807155496414759,0.0012905602427926155,-0.0932133987106809
bc_base14,same_xx,factory_prepolish_deep_defect,10582,success,success,True,True,-0.07558685213309957,0.0002327780880869157,0.002487052551716218,0.003926270170085788,0.0005236316408598896
bc_global20,same_xx,factory_prepolish_deep_defect,10582,success,success,True,True,-0.4692030585282936,-0.0016651384902018063,-0.01921609758938625,0.06677449081002546,0.000713964970863401
